"REF_DATE","GEO","DGUID","Products","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-01","Quebec","2016A000224","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447135","5.1","11.95","","","","2"
"2018-02","Quebec","2016A000224","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447135","5.1","13.37","","","","2"
"2018-03","Quebec","2016A000224","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447135","5.1","12.59","","","","2"
"2018-04","Quebec","2016A000224","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447135","5.1","13.85","","","","2"
"2018-05","Quebec","2016A000224","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447135","5.1","14.42","","","","2"
"2018-06","Quebec","2016A000224","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447135","5.1","14.33","","","","2"
"2018-07","Quebec","2016A000224","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447135","5.1","13.32","","","","2"
"2018-08","Quebec","2016A000224","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447135","5.1","13.24","","","","2"
"2018-09","Quebec","2016A000224","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447135","5.1","12.84","","","","2"
"2018-10","Quebec","2016A000224","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447135","5.1","13.25","","","","2"
"2018-11","Quebec","2016A000224","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447135","5.1","11.45","","","","2"
"2018-12","Quebec","2016A000224","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447135","5.1","13.82","","","","2"
"2019-01","Quebec","2016A000224","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447135","5.1","13.86","","","","2"
"2019-02","Quebec","2016A000224","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447135","5.1","13.66","","","","2"
"2019-03","Quebec","2016A000224","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447135","5.1","14.13","","","","2"
"2019-04","Quebec","2016A000224","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447135","5.1","14.02","","","","2"
"2019-05","Quebec","2016A000224","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447135","5.1","14.41","","","","2"
"2019-06","Quebec","2016A000224","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447135","5.1","14.32","","","","2"
"2019-07","Quebec","2016A000224","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447135","5.1","14.21","","","","2"
"2019-08","Quebec","2016A000224","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447135","5.1","13.88","","","","2"
"2019-09","Quebec","2016A000224","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447135","5.1","14.20","","","","2"
"2019-10","Quebec","2016A000224","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447135","5.1","13.91","","","","2"
"2019-11","Quebec","2016A000224","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447135","5.1","14.93","","","","2"
"2019-12","Quebec","2016A000224","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447135","5.1","14.77","","","","2"
"2020-01","Quebec","2016A000224","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447135","5.1","14.35","","","","2"
"2020-02","Quebec","2016A000224","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447135","5.1","14.54","","","","2"
"2020-03","Quebec","2016A000224","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447135","5.1","15.16","","","","2"
"2020-04","Quebec","2016A000224","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447135","5.1","14.43","","","","2"
"2020-05","Quebec","2016A000224","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447135","5.1","16.02","","","","2"
"2020-06","Quebec","2016A000224","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447135","5.1","17.13","","","","2"
"2020-07","Quebec","2016A000224","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447135","5.1","18.07","","","","2"
"2020-08","Quebec","2016A000224","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447135","5.1","14.57","","","","2"
"2020-09","Quebec","2016A000224","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447135","5.1","14.86","","","","2"
"2020-10","Quebec","2016A000224","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447135","5.1","14.95","","","","2"
"2020-11","Quebec","2016A000224","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447135","5.1","14.18","","","","2"
"2020-12","Quebec","2016A000224","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447135","5.1","14.51","","","","2"
"2021-01","Quebec","2016A000224","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447135","5.1","14.88","","","","2"
"2021-02","Quebec","2016A000224","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447135","5.1","14.47","","","","2"
"2021-03","Quebec","2016A000224","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447135","5.1","15.07","","","","2"
"2021-04","Quebec","2016A000224","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447135","5.1","14.10","","","","2"
"2021-05","Quebec","2016A000224","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447135","5.1","15.63","","","","2"
"2021-06","Quebec","2016A000224","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447135","5.1","16.06","","","","2"
"2021-07","Quebec","2016A000224","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447135","5.1","16.59","","","","2"
"2021-08","Quebec","2016A000224","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447135","5.1","15.95","","","","2"
"2021-09","Quebec","2016A000224","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447135","5.1","15.10","","","","2"
"2021-10","Quebec","2016A000224","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447135","5.1","15.38","","","","2"
"2021-11","Quebec","2016A000224","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447135","5.1","17.57","","","","2"
"2021-12","Quebec","2016A000224","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447135","5.1","14.67","","","","2"
