date, price
2017.1, 3.36
2017.2, 3.49
2017.3, 3.40
2017.4, 3.27
2017.5, 3.53
2017.6, 3.43
2017.7, 3.38
2017.8, 3.41
2017.9, 3.34
2017.10, 3.37
2017.11, 3.25
2017.12, 3.63
2018.1, 3.44
2018.2, 3.32
2018.3, 3.27
2018.4, 3.32
2018.5, 3.42
2018.6, 3.55
2018.7, 3.24
2018.8, 3.40
2018.9, 3.22
2018.10, 3.26
2018.11, 3.29
2018.12, 3.49
2019.1, 3.55
2019.2, 3.46
2019.3, 3.42
2019.4, 3.55
2019.5, 3.50
2019.6, 3.76
2019.7, 3.47
2019.8, 3.49
2019.9, 3.40
2019.10, 3.39
2019.11, 3.37
2019.12, 3.47
2020.1, 3.43
2020.2, 3.35
2020.3, 3.27
2020.4, 3.58
2020.5, 3.36
2020.6, 3.54
2020.7, 3.42
2020.8, 3.46
2020.9, 3.44
2020.10, 3.31
2020.11, 3.32
2020.12, 3.41
2021.1, 3.40
2021.2, 3.32
2021.3, 3.35
2021.4, 3.57
2021.5, 3.38
2021.6, 3.45
2021.7, 3.42
2021.8, 3.59
2021.9, 3.50
2021.10, 3.30
2021.11, 3.42
2021.12, 3.51
2022.1, 3.51
2022.2, 3.73
2022.3, 3.82
2022.4, 3.95
2022.5, 3.91
2022.6, 3.99
2022.7, 4.09
2022.8, 4.15
2022.9, 3.93
2022.10, 3.78
2022.11, 4.25
2022.12, 4.38
2023.1, 4.23
2023.2, 4.08
2023.3, 4.15
2023.4, 4.33
2023.5, 4.26
2023.6, 4.40
2023.7, 4.37
2023.8, 4.28
2023.9, 4.25
2023.10, 4.25
2023.11, 4.22
